G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Mon Dec 10 2012,7:30p EST,,Box Score,,Sacramento Kings,W,,119,96,11,10,W 3,
22,Wed Dec 12 2012,8:00p EST,,Box Score,@,Boston Celtics,L,2OT,115,117,11,11,L 1,
23,Fri Dec 14 2012,7:00p EST,,Box Score,@,Toronto Raptors,L,,74,95,11,12,L 2,
24,Sat Dec 15 2012,7:00p EST,,Box Score,@,Minnesota Timberwolves,L,OT,106,114,11,13,L 3,
25,Tue Dec 18 2012,7:30p EST,,Box Score,,Philadelphia 76ers,W,,107,100,12,13,W 1,
26,Thu Dec 20 2012,8:30p EST,,Box Score,,Miami Heat,L,,95,110,12,14,L 1,
27,Fri Dec 21 2012,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,82,92,12,15,L 2,
28,Sun Dec 23 2012,6:00p EST,,Box Score,@,San Antonio Spurs,L,,91,129,12,16,L 3,
29,Thu Dec 27 2012,7:00p EST,,Box Score,@,Oklahoma City Thunder,L,OT,105,111,12,17,L 4,
30,Fri Dec 28 2012,7:30p EST,,Box Score,,Denver Nuggets,L,,85,106,12,18,L 5,
31,Sun Dec 30 2012,6:30p EST,,Box Score,,San Antonio Spurs,L,,86,111,12,19,L 6,
32,Tue Jan 1 2013,6:00p EST,,Box Score,@,Washington Wizards,W,,103,94,13,19,W 1,
33,Wed Jan 2 2013,7:30p EST,,Box Score,@,Miami Heat,L,OT,109,119,13,20,L 1,
34,Sat Jan 5 2013,7:30p EST,,Box Score,,New Orleans Hornets,L,OT,96,99,13,21,L 2,
35,Mon Jan 7 2013,7:00p EST,,Box Score,@,Utah Jazz,L,,94,100,13,22,L 3,
36,Wed Jan 9 2013,7:30p EST,,Box Score,@,Los Angeles Clippers,L,,93,99,13,23,L 4,
37,Thu Jan 10 2013,7:00p EST,,Box Score,@,Sacramento Kings,W,OT,117,112,14,23,W 1,
38,Sat Jan 12 2013,8:00p EST,,Box Score,,Memphis Grizzlies,W,,104,83,15,23,W 2,
39,Mon Jan 14 2013,7:30p EST,,Box Score,,Minnesota Timberwolves,W,,113,98,16,23,W 3,
40,Wed Jan 16 2013,7:00p EST,,Box Score,,Houston Rockets,W,,105,100,17,23,W 4,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Fri Jan 18 2013,8:30p EST,,Box Score,,Oklahoma City Thunder,L,OT,114,117,17,24,L 1,
42,Sun Jan 20 2013,6:00p EST,,Box Score,@,Orlando Magic,W,,111,105,18,24,W 1,
43,Fri Jan 25 2013,7:00p EST,,Box Score,,San Antonio Spurs,L,,107,113,18,25,L 1,
44,Sun Jan 27 2013,6:30p EST,,Box Score,,Phoenix Suns,W,,110,95,19,25,W 1,
45,Tue Jan 29 2013,7:00p EST,,Box Score,@,Portland Trail Blazers,L,,104,106,19,26,L 1,
46,Thu Jan 31 2013,7:30p EST,,Box Score,@,Golden State Warriors,L,,97,100,19,27,L 2,
47,Fri Feb 1 2013,7:00p EST,,Box Score,@,Phoenix Suns,W,,109,99,20,27,W 1,
48,Mon Feb 4 2013,7:00p EST,,Box Score,@,Oklahoma City Thunder,L,,91,112,20,28,L 1,
49,Wed Feb 6 2013,7:30p EST,,Box Score,,Portland Trail Blazers,W,,105,99,21,28,W 1,
50,Sat Feb 9 2013,7:30p EST,,Box Score,,Golden State Warriors,W,,116,91,22,28,W 2,
51,Mon Feb 11 2013,7:30p EST,,Box Score,,Atlanta Hawks,L,,101,105,22,29,L 1,
52,Wed Feb 13 2013,7:30p EST,,Box Score,,Sacramento Kings,W,,123,100,23,29,W 1,
53,Wed Feb 20 2013,7:30p EST,,Box Score,,Orlando Magic,W,,111,96,24,29,W 2,
54,Fri Feb 22 2013,7:00p EST,,Box Score,@,New Orleans Hornets,W,,104,100,25,29,W 3,
55,Sun Feb 24 2013,12:00p EST,,Box Score,,Los Angeles Lakers,L,,99,103,25,30,L 1,
56,Tue Feb 26 2013,7:30p EST,,Box Score,,Milwaukee Bucks,L,,90,95,25,31,L 2,
57,Wed Feb 27 2013,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,84,90,25,32,L 3,
58,Fri Mar 1 2013,8:00p EST,,Box Score,@,Brooklyn Nets,W,,98,90,26,32,W 1,
59,Sun Mar 3 2013,6:00p EST,,Box Score,@,Houston Rockets,L,,103,136,26,33,L 1,
60,Wed Mar 6 2013,7:30p EST,,Box Score,,Houston Rockets,W,,112,108,27,33,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Fri Mar 8 2013,7:30p EST,,Box Score,@,Detroit Pistons,W,,102,99,28,33,W 2,
62,Sun Mar 10 2013,6:00p EST,,Box Score,@,Minnesota Timberwolves,W,,100,77,29,33,W 3,
63,Tue Mar 12 2013,7:00p EST,,Box Score,@,Milwaukee Bucks,W,,115,108,30,33,W 4,
64,Thu Mar 14 2013,7:00p EST,,Box Score,@,San Antonio Spurs,L,,91,92,30,34,L 1,
65,Fri Mar 15 2013,7:30p EST,,Box Score,,Cleveland Cavaliers,W,,96,86,31,34,W 1,
66,Sun Mar 17 2013,6:30p EST,,Box Score,,Oklahoma City Thunder,L,,101,107,31,35,L 1,
67,Mon Mar 18 2013,7:30p EST,,Box Score,@,Atlanta Hawks,W,,127,113,32,35,W 1,
68,Wed Mar 20 2013,7:00p EST,,Box Score,,Brooklyn Nets,L,,96,113,32,36,L 1,
69,Fri Mar 22 2013,7:30p EST,,Box Score,,Boston Celtics,W,,104,94,33,36,W 1,
70,Sun Mar 24 2013,6:30p EST,,Box Score,,Utah Jazz,W,,113,108,34,36,W 2,
71,Tue Mar 26 2013,8:30p EST,,Box Score,,Los Angeles Clippers,W,OT,109,102,35,36,W 3,
72,Thu Mar 28 2013,7:30p EST,,Box Score,,Indiana Pacers,L,,78,103,35,37,L 1,
73,Sat Mar 30 2013,1:00p EST,,Box Score,,Chicago Bulls,W,,100,98,36,37,W 1,
74,Tue Apr 2 2013,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,81,101,36,38,L 1,
75,Thu Apr 4 2013,7:00p EST,,Box Score,@,Denver Nuggets,L,,94,95,36,39,L 2,
76,Fri Apr 5 2013,7:00p EST,,Box Score,@,Sacramento Kings,W,,117,108,37,39,W 1,
77,Sun Apr 7 2013,6:00p EST,,Box Score,@,Portland Trail Blazers,W,,96,91,38,39,W 2,
78,Wed Apr 10 2013,7:30p EST,,Box Score,,Phoenix Suns,L,,91,102,38,40,L 1,
79,Fri Apr 12 2013,7:30p EST,,Box Score,,Denver Nuggets,W,OT,108,105,39,40,W 1,
80,Sun Apr 14 2013,5:00p EST,,Box Score,@,New Orleans Hornets,W,,107,89,40,40,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Mon Apr 15 2013,7:00p EST,,Box Score,,Memphis Grizzlies,L,,97,103,40,41,L 1,
82,Wed Apr 17 2013,7:00p EST,,Box Score,,New Orleans Hornets,W,,99,87,41,41,W 1,
