G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Fri Nov 2 2012,7:30p EST,,Box Score,@,Boston Celtics,W,,99,88,1,0,W 1,
2,Sat Nov 3 2012,7:30p EST,,Box Score,,Cleveland Cavaliers,W,,105,102,2,0,W 2,
3,Wed Nov 7 2012,7:00p EST,,Box Score,,Memphis Grizzlies,L,,90,108,2,1,L 1,
4,Fri Nov 9 2012,7:00p EST,,Box Score,@,Washington Wizards,W,,101,91,3,1,W 1,
5,Sat Nov 10 2012,7:30p EST,,Box Score,,Boston Celtics,L,,92,96,3,2,L 1,
6,Mon Nov 12 2012,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,105,96,4,2,W 1,
7,Wed Nov 14 2012,7:00p EST,,Box Score,,Indiana Pacers,W,,99,85,5,2,W 2,
8,Sat Nov 17 2012,7:30p EST,,Box Score,,New Orleans Hornets,W,,117,113,6,2,W 3,
9,Mon Nov 19 2012,7:00p EST,,Box Score,@,Charlotte Bobcats,L,,98,102,6,3,L 1,
10,Wed Nov 21 2012,7:30p EST,,Box Score,@,Miami Heat,L,OT,106,113,6,4,L 2,
11,Sat Nov 24 2012,8:00p EST,,Box Score,,Chicago Bulls,L,,86,93,6,5,L 3,
12,Mon Nov 26 2012,7:00p EST,,Box Score,@,Chicago Bulls,W,,93,92,7,5,W 1,
13,Wed Nov 28 2012,7:00p EST,,Box Score,,New York Knicks,L,,88,102,7,6,L 1,
14,Fri Nov 30 2012,7:00p EST,,Box Score,@,Minnesota Timberwolves,L,,85,95,7,7,L 2,
15,Sat Dec 1 2012,7:30p EST,,Box Score,,Boston Celtics,W,,91,88,8,7,W 1,
16,Mon Dec 3 2012,7:00p EST,,Box Score,@,New Orleans Hornets,L,,81,102,8,8,L 1,
17,Wed Dec 5 2012,7:30p EST,,Box Score,@,San Antonio Spurs,L,,99,110,8,9,L 2,
18,Fri Dec 7 2012,7:30p EST,,Box Score,,Charlotte Bobcats,W,,108,93,9,9,W 1,
19,Sun Dec 9 2012,6:00p EST,,Box Score,@,Brooklyn Nets,W,,97,88,10,9,W 2,
20,Wed Dec 12 2012,7:00p EST,,Box Score,,Sacramento Kings,W,,98,85,11,9,W 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Fri Dec 14 2012,7:30p EST,,Box Score,@,Cleveland Cavaliers,W,,90,86,12,9,W 4,
22,Sat Dec 15 2012,7:30p EST,,Box Score,,Los Angeles Clippers,L,,85,111,12,10,L 1,
23,Tue Dec 18 2012,7:00p EST,,Box Score,,Indiana Pacers,W,,98,93,13,10,W 1,
24,Wed Dec 19 2012,8:30p EST,,Box Score,@,Memphis Grizzlies,L,,80,90,13,11,L 1,
25,Fri Dec 21 2012,7:30p EST,,Box Score,@,Boston Celtics,W,OT,99,94,14,11,W 1,
26,Sat Dec 22 2012,7:30p EST,,Box Score,,Cleveland Cavaliers,L,,82,94,14,12,L 1,
27,Wed Dec 26 2012,7:00p EST,,Box Score,,Brooklyn Nets,W,,108,93,15,12,W 1,
28,Sat Dec 29 2012,7:30p EST,,Box Score,,Miami Heat,W,,104,85,16,12,W 2,
29,Sun Dec 30 2012,7:30p EST,,Box Score,@,Detroit Pistons,L,,94,96,16,13,L 1,
