G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 30 2013,,,Box Score,,Atlanta Hawks,W,,118,109,1,0,W 1,
2,Fri Nov 1 2013,,,Box Score,@,Houston Rockets,L,,105,113,1,1,L 1,
3,Sat Nov 2 2013,,,Box Score,,Memphis Grizzlies,W,,111,99,2,1,W 1,
4,Tue Nov 5 2013,,,Box Score,,Los Angeles Lakers,W,,123,104,3,1,W 2,
5,Wed Nov 6 2013,,,Box Score,@,Oklahoma City Thunder,L,,93,107,3,2,L 1,
6,Fri Nov 8 2013,,,Box Score,@,Minnesota Timberwolves,L,,108,116,3,3,L 2,
7,Sat Nov 9 2013,,,Box Score,@,Milwaukee Bucks,W,,91,83,4,3,W 1,
8,Tue Nov 12 2013,,,Box Score,,Washington Wizards,W,,105,95,5,3,W 2,
9,Fri Nov 15 2013,,,Box Score,@,Miami Heat,L,,104,110,5,4,L 1,
10,Sat Nov 16 2013,,,Box Score,@,Orlando Magic,W,,108,100,6,4,W 1,
11,Mon Nov 18 2013,,,Box Score,,Philadelphia 76ers,W,,97,94,7,4,W 2,
12,Wed Nov 20 2013,,,Box Score,,Houston Rockets,W,,123,120,8,4,W 3,
13,Fri Nov 22 2013,,,Box Score,,Utah Jazz,W,,103,93,9,4,W 4,
14,Sat Nov 23 2013,,,Box Score,@,Denver Nuggets,L,,100,102,9,5,L 1,
15,Mon Nov 25 2013,,,Box Score,,Denver Nuggets,L,,96,110,9,6,L 2,
16,Wed Nov 27 2013,,,Box Score,,Golden State Warriors,W,,103,99,10,6,W 1,
17,Fri Nov 29 2013,,,Box Score,@,Atlanta Hawks,L,,87,88,10,7,L 1,
18,Sat Nov 30 2013,,,Box Score,,Minnesota Timberwolves,L,,106,112,10,8,L 2,
19,Tue Dec 3 2013,,,Box Score,,Charlotte Bobcats,W,,89,82,11,8,W 1,
20,Wed Dec 4 2013,,,Box Score,@,New Orleans Pelicans,W,,100,97,12,8,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Sat Dec 7 2013,,,Box Score,@,Portland Trail Blazers,W,,108,106,13,8,W 3,
22,Mon Dec 9 2013,,,Box Score,@,Sacramento Kings,L,,97,112,13,9,L 1,
23,Wed Dec 11 2013,,,Box Score,@,Golden State Warriors,L,,93,95,13,10,L 2,
24,Sat Dec 14 2013,,,Box Score,,Milwaukee Bucks,W,,106,93,14,10,W 1,
25,Wed Dec 18 2013,,,Box Score,,Memphis Grizzlies,W,,105,91,15,10,W 2,
26,Fri Dec 20 2013,,,Box Score,,Toronto Raptors,L,OT,108,109,15,11,L 1,
27,Sat Dec 21 2013,,,Box Score,@,Phoenix Suns,L,,108,123,15,12,L 2,
28,Mon Dec 23 2013,,,Box Score,@,Houston Rockets,W,,111,104,16,12,W 1,
29,Thu Dec 26 2013,,,Box Score,,San Antonio Spurs,L,,107,116,16,13,L 1,
30,Sat Dec 28 2013,,,Box Score,@,Chicago Bulls,W,,105,83,17,13,W 1,
31,Mon Dec 30 2013,,,Box Score,@,Minnesota Timberwolves,W,,100,98,18,13,W 2,
32,Wed Jan 1 2014,,,Box Score,@,Washington Wizards,W,,87,78,19,13,W 3,
33,Fri Jan 3 2014,,,Box Score,,Los Angeles Clippers,L,,112,119,19,14,L 1,
34,Sun Jan 5 2014,,,Box Score,,New York Knicks,L,,80,92,19,15,L 2,
35,Tue Jan 7 2014,,,Box Score,,Los Angeles Lakers,W,,110,97,20,15,W 1,
36,Wed Jan 8 2014,,,Box Score,@,San Antonio Spurs,L,,90,112,20,16,L 1,
37,Fri Jan 10 2014,,,Box Score,@,New Orleans Pelicans,W,,107,90,21,16,W 1,
38,Sat Jan 11 2014,,,Box Score,,New Orleans Pelicans,W,,110,107,22,16,W 2,
39,Mon Jan 13 2014,,,Box Score,,Orlando Magic,W,,107,88,23,16,W 3,
40,Wed Jan 15 2014,,,Box Score,@,Los Angeles Clippers,L,,127,129,23,17,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Fri Jan 17 2014,,,Box Score,@,Phoenix Suns,W,,110,107,24,17,W 1,
42,Sat Jan 18 2014,,,Box Score,,Portland Trail Blazers,L,,111,127,24,18,L 1,
43,Mon Jan 20 2014,,,Box Score,@,Cleveland Cavaliers,W,,102,97,25,18,W 1,
44,Wed Jan 22 2014,,,Box Score,@,Toronto Raptors,L,,85,93,25,19,L 1,
45,Fri Jan 24 2014,,,Box Score,@,Brooklyn Nets,L,,106,107,25,20,L 2,
46,Sun Jan 26 2014,,,Box Score,,Detroit Pistons,W,,116,106,26,20,W 1,
47,Wed Jan 29 2014,,,Box Score,,Houston Rockets,L,,115,117,26,21,L 1,
48,Fri Jan 31 2014,,,Box Score,,Sacramento Kings,W,,107,103,27,21,W 1,
49,Mon Feb 3 2014,,,Box Score,,Cleveland Cavaliers,W,,124,107,28,21,W 2,
50,Wed Feb 5 2014,,,Box Score,@,Memphis Grizzlies,W,,110,96,29,21,W 3,
51,Fri Feb 7 2014,,,Box Score,,Utah Jazz,W,,103,81,30,21,W 4,
52,Sun Feb 9 2014,,,Box Score,@,Boston Celtics,W,,102,91,31,21,W 5,
53,Tue Feb 11 2014,,,Box Score,@,Charlotte Bobcats,L,,89,114,31,22,L 1,
54,Wed Feb 12 2014,,,Box Score,@,Indiana Pacers,W,,81,73,32,22,W 1,
55,Tue Feb 18 2014,,,Box Score,,Miami Heat,L,,106,117,32,23,L 1,
56,Fri Feb 21 2014,,,Box Score,@,Philadelphia 76ers,W,,124,112,33,23,W 1,
57,Sat Feb 22 2014,,,Box Score,@,Detroit Pistons,W,,113,102,34,23,W 2,
58,Mon Feb 24 2014,,,Box Score,@,New York Knicks,W,,110,108,35,23,W 3,
59,Wed Feb 26 2014,,,Box Score,,New Orleans Pelicans,W,,108,89,36,23,W 4,
60,Fri Feb 28 2014,,,Box Score,,Chicago Bulls,L,,91,100,36,24,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
